page_name,page_id,post_last,post_period
MNCS Korea,299688556798847,2017-03-29,54.208333333333336
LEGO,436059263231078,2017-11-06,0.9583333333333334
이음신,273222129370491,2017-11-03,2.0416666666666665
스카치블루 (Scotch Blue),463538447009208,2017-11-04,2.125
LANEIGE 라네즈,250311674989370,2017-11-07,1.2916666666666667
Cartier,620135111381296,2017-10-20,1.8333333333333333
삼성화재 다이렉트,192460547440362,2017-11-06,2.1666666666666665
LG CNS,338653442875521,2017-11-07,1.125
라라베시,242134945825353,2017-11-06,11.208333333333334
Lacoste,145633358834112,2017-11-07,1.9166666666666667
KLMKorea,311087165614639,2017-11-06,4.916666666666667
넥센타이어,542455049118351,2017-11-06,0.7916666666666666
DJI,1441904006121936,2017-11-07,1.0833333333333333
Finnair Korea,195694777251770,2017-11-05,1.9583333333333333
Nikon,200151416688456,2017-11-07,0.7083333333333334
KB 국민은행,462955103765673,2017-11-07,1.125
한라그룹,205532823134713,2017-11-06,1.875
피망 - Pmang,582133425159834,2017-11-01,2.0
Apple,434174436675167,NA,NA
리리코스 (LIRIKOS),308964119128459,2017-11-06,1.625
신세계면세점,100545953452118,2017-11-07,0.7916666666666666
Citi Korea (씨티),249664125146501,2017-11-07,2.9583333333333335
던킨도너츠 - Dunkin' Donuts,229537803724335,2017-11-07,1.1666666666666667
Air France,10150136746870526,2017-11-06,5.25
Reebok,418230148248185,2017-11-05,2.0833333333333335
Jin Air (진에어),145533348790100,2017-11-07,0.4583333333333333
Citroën,206956976070341,2017-11-06,2.0416666666666665
Dior,118197471568260,2017-11-06,1.1666666666666667
Conrad Seoul / 콘래드 서울,473572172652984,2017-11-07,1.375
미팩토리,1599678636974476,2017-11-06,13.833333333333334
신한S20,124180721005401,2017-11-07,0.9166666666666666
서울우유,103534153160950,2017-11-07,1.0416666666666667
Klairs 클레어스,190661207641134,2017-09-26,6.125
Google Play,290133444456177,2017-11-04,2.1666666666666665
아디다스 우먼 (adidas women),143287599170151,2017-11-03,1.4583333333333333
클리오 CLIO,240866319600231,2017-11-03,1.2083333333333333
Netflix,927701797321428,2017-11-07,0.7083333333333334
레디큐,1383968305214375,2017-11-06,2.2916666666666665
토요타(Toyota Korea),114869555254344,2017-11-02,1.7083333333333333
Acuvue Korea-아큐브 코리아,321543384593406,2017-10-31,2.8333333333333335
모두투어 modetour,185388061624271,2017-11-06,1.5416666666666667
Kiehl's,159835120700626,2017-11-06,1.4583333333333333
Tefal,122716994572689,2017-11-07,2.8333333333333335
Mnet.com - 엠넷닷컴,318532111515112,2017-11-07,0.3333333333333333
리본즈,115823601826087,2017-11-07,0.25
KB손해보험 다이렉트,344993795686503,2017-10-30,2.75
Lancôme,164911666902522,2017-11-07,2.2916666666666665
Blackmonster 블랙몬스터,134090683409819,2017-10-13,13.041666666666666
BHC,163235670463612,2017-11-07,1.0833333333333333
